,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
217,1MILLION Dance Studio,26100000,7886440199,Entertainment,1MILLION Dance Studio,0,Saudi Arabia,SA,Music,3695,5641,0,0,0,0,0,0,2019,Jul,13,68,34268528,5.93,28807838,23.885942,45.079162,489,489
218,NichLmao,26000000,14101010609,People & Blogs,NichLmao,868,Unknown,Unknown,People,Unknown,6,606362000,151600,2400000,1800000,29100000,1100000,2018,Sep,25,Unknown,Unknown,Unknown,Unknown,No Data,No Data,237,237
219,Beyoncï¿,26000000,17308961985,Music,Beyoncï¿,240,United States,US,Music,66,66,55454000,13900,221800,166400,2700000,0,2005,Nov,7,88.2,328239523,14.7,270663028,37.09024,-95.712891,160,160
220,Marï¿½ï¿½ï¿½ï¿½ï¿½,26000000,18597534412,Music,mariliamendonca,1,Unknown,Unknown,Music,Unknown,4914,3,0,0.01,0.01,0.14,3,2008,Jun,14,Unknown,Unknown,Unknown,Unknown,No Data,No Data,140,140
221,Indosiar,25900000,11372071889,Music,Indosiar,65286,Indonesia,ID,Entertainment,5,60,230183000,57500,920700,690500,11000000,600000,2013,Sep,23,36.3,270203917,4.69,151509724,-0.789275,113.921327,312,312
222,VanossGaming,25800000,15541421838,Gaming,VanossGaming,1762,Canada,CA,Games,5,17,54947000,13700,219800,164800,2600000,0,2011,Sep,15,68.9,36991981,5.56,30628482,56.130366,-106.346771,197,197
223,David Guetta,25700000,17793809548,Music,David Guetta,749,United States,US,Music,67,67,164215000,41100,656900,492600,7900000,100000,2009,Dec,11,88.2,328239523,14.7,270663028,37.09024,-95.712891,151,151
224,LosPolinesios,25700000,7466926260,People & Blogs,LosPolinesios,982,Mexico,MX,People,8,7,30501000,7600,122000,91500,1500000,0,2012,Dec,16,40.2,126014024,3.42,102626859,23.634501,-102.552784,515,515
225,Nicki Minaj,25700000,10242981063,Music,Nicki Minaj,42,United States,US,Music,67,67,103631000,25900,414500,310900,5000000,100000,2013,Aug,28,88.2,328239523,14.7,270663028,37.09024,-95.712891,356,356
226,Fede Vigevani,25600000,7962725960,Howto & Style,Fede Vigevani,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,2,2019,Aug,1,Unknown,Unknown,Unknown,Unknown,No Data,No Data,479,479
227,TaylorSwiftVEVO,25600000,25592378292,Music,TaylorSwiftVEVO,287,United States,US,Music,68,68,318593000,79600,1300000,955800,15300000,100000,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,68,68
228,ZHC,25500000,2726917087,Film & Animation,zhc,5,Unknown,Unknown,Entertainment,Unknown,6739,20,0.01,0.08,0.06,0.96,4,2006,Jan,24,Unknown,Unknown,Unknown,Unknown,No Data,No Data,861,861
229,Post Malone,25500000,14401218086,Music,Post Malone,78,United States,US,Music,69,69,195499000,48900,782000,586500,9400000,100000,2011,Dec,15,88.2,328239523,14.7,270663028,37.09024,-95.712891,231,231
230,Rans Entertainment,25400000,6430853035,People & Blogs,Rans Entertainment,3716,Indonesia,ID,Entertainment,6,62,58487000,14600,233900,175500,2800000,100000,2015,Dec,27,36.3,270203917,4.69,151509724,-0.789275,113.921327,587,587
231,LankyBox,25400000,34300482066,Comedy,LankyBox,8775,United States,US,Games,69,18,815341000,203800,3300000,2400000,39100000,600000,2016,Jul,30,88.2,328239523,14.7,270663028,37.09024,-95.712891,29,29
232,Coldplay,25300000,17331663193,Music,Coldplay,398,United Kingdom,GB,Music,8,70,198875000,49700,795500,596600,9500000,100000,2010,Jan,3,60,66834405,3.85,55908316,55.378051,-3.435973,157,157
233,Las Ratitas,25200000,9602246828,People & Blogs,LAS RATITAS,4,Unknown,Unknown,People,Unknown,7690,11,0,0.04,0.03,0.53,0,2019,May,31,Unknown,Unknown,Unknown,Unknown,No Data,No Data,396,396
234,WB Kids,25200000,11081602368,People & Blogs,WB Kids,2025,United States,US,Film,70,16,140319000,35100,561300,421000,6700000,300000,2015,Mar,31,88.2,328239523,14.7,270663028,37.09024,-95.712891,323,323
235,ABPLIVE,25200000,7968363381,People & Blogs,ABPLIVE,12,Unknown,Unknown,People,Unknown,7421,2,0,0.01,0.01,0.1,0,2014,Jul,26,Unknown,Unknown,Unknown,Unknown,No Data,No Data,477,477
236,Chris Brown,25200000,15520569496,Music,ChrisBrown,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,9999,Dec,31,Unknown,Unknown,Unknown,Unknown,No Data,No Data,198,198
237,The Lallantop,25200000,10409352249,News & Politics,The Lallantop,51129,India,IN,News,52,6,273920000,68500,1100000,821800,13100000,300000,2015,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288,347,347
238,RihannaVEVO,25100000,19458807708,Music,RihannaVEVO,118,United States,US,Music,71,72,94246000,23600,377000,282700,4500000,0,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,128,128
239,WatchMojo.com,25100000,16357064198,Music,WatchMojo.com,24837,Canada,CA,Entertainment,6,64,49009000,12300,196000,147000,2400000,0,2007,Jan,25,68.9,36991981,5.56,30628482,56.130366,-106.346771,175,175
240,TRANS7 OFFICIAL,25000000,14169516119,Entertainment,TRANS7 OFFICIAL,89179,Indonesia,ID,Entertainment,7,64,123189000,30800,492800,369600,5900000,100000,2014,Sep,4,36.3,270203917,4.69,151509724,-0.789275,113.921327,236,236
241,Anuel AA,25000000,14827085149,Music,Anuel AA,147,Colombia,CO,Music,6,73,284144000,71000,1100000,852400,13600000,300000,2016,Sep,8,55.3,50339443,9.71,40827302,4.570868,-74.297333,213,213
242,Dan Rhodes,24800000,17387583720,Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,9,66,331889000,83000,1300000,995700,15900000,500000,2015,Oct,30,60,66834405,3.85,55908316,55.378051,-3.435973,156,156
243,Yuya,24800000,2588501115,Howto & Style,Yuya,672,Mexico,MX,Howto,9,6,336291,84,1300,1000,16100,0,2009,Sep,20,40.2,126014024,3.42,102626859,23.634501,-102.552784,871,871
244,America's Got Talent,24800000,3699352704,Entertainment,America's Got Talent,1894,United States,US,Entertainment,72,65,134412000,33600,537600,403200,6500000,400000,2006,Jun,29,88.2,328239523,14.7,270663028,37.09024,-95.712891,789,789
245,mujjuu___14,24800000,14655527943,People & Blogs,mujjuu___14,872,Unknown,Unknown,People,Unknown,8,400222000,100100,1600000,1200000,19200000,900000,2020,May,18,Unknown,Unknown,Unknown,Unknown,No Data,No Data,222,222
246,EminemVEVO,24700000,20531704527,Music,EminemVEVO,104,United States,US,Music,73,74,139443000,34900,557800,418300,6700000,100000,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,114,114
247,Chloe Ting,24700000,2994726412,Howto & Style,Chloe Ting,412,Australia,AU,Howto,2,7,23263000,5800,93100,69800,1100000,0,2011,Aug,17,113.1,25766605,5.27,21844756,-25.274398,133.775136,837,837
248,KatyPerryVEVO,24600000,23755792542,Music,KatyPerryVEVO,175,United States,US,Music,74,75,88940000,22200,355800,266800,4300000,100000,2009,Dec,13,88.2,328239523,14.7,270663028,37.09024,-95.712891,82,82
249,Mark Rober,24600000,3647987299,Science & Technology,Mark Rober,120,United States,US,Tech,74,3,88625000,22200,354500,265900,4300000,200000,2011,Oct,20,88.2,328239523,14.7,270663028,37.09024,-95.712891,794,794
250,1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,23962070944,Music,1theK (ï¿½ï¿½ï¿½ï¿½ï,18950,South Korea,KR,Entertainment,6,67,105567000,26400,422300,316700,5100000,0,2011,Jan,31,94.3,51709098,4.15,42106719,35.907757,127.766922,79,79
251,Like Nastya AE,24400000,12385924995,Entertainment,Like Nastya AE,658,United States,US,Entertainment,75,68,169865000,42500,679500,509600,8200000,400000,2018,Dec,19,88.2,328239523,14.7,270663028,37.09024,-95.712891,286,286
252,Amit Bhadana,24300000,2380248899,Entertainment,Amit Bhadana,17,Unknown,Unknown,People,Unknown,7710,5,0,0.02,0.02,0.24,0,2009,Dec,31,Unknown,Unknown,Unknown,Unknown,No Data,No Data,884,884
253,Pen Movies,24300000,6608773195,Film & Animation,Pen Movies,1667,India,IN,Film,53,17,94853000,23700,379400,284600,4600000,300000,2014,Mar,25,28.1,1366417754,5.36,471031528,20.593684,78.96288,577,577
254,MrBeast en Espaï¿½ï,24200000,2700914170,Entertainment,MrBeast en Espaï¿½ï,67,Mexico,MX,Entertainment,10,70,33590000,8400,134400,100800,1600000,100000,2021,Jul,9,40.2,126014024,3.42,102626859,23.634501,-102.552784,863,863
255,shfa show India,24200000,15724160183,Unknown,shfa show India,469,United Arab Emirates,AE,People,3,9,151208000,37800,604800,453600,7300000,200000,2019,Apr,1,36.8,9770529,2.35,8479744,23.424076,53.847818,193,193
256,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,Unknown,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,77,15,328503000,82100,1300000,985500,15800000,100000,2019,May,31,88.2,328239523,14.7,270663028,37.09024,-95.712891,978,978
257,Alejo Igoa,24100000,10999000479,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,4,71,401512000,100400,1600000,1200000,19300000,600000,2014,Jan,17,90,44938712,9.79,41339571,-38.416097,-63.616672,330,330
258,Daniel LaBelle,24100000,12916159065,Comedy,Daniel LaBelle,287,Unknown,Unknown,Comedy,Unknown,14,398765000,99700,1600000,1200000,19100000,700000,2009,Mar,11,Unknown,Unknown,Unknown,Unknown,No Data,No Data,269,269
259,netd mï¿½ï¿,24100000,56106087508,Music,netd mï¿½ï¿,23491,Turkey,TR,Music,2,76,424815000,106200,1700000,1300000,20400000,200000,2014,Jan,23,23.9,83429615,13.49,63097818,38.963745,35.243322,14,14
260,DJ Snake,24100000,8425505919,Music,DJ Snake,252,United States,US,Music,77,76,63293000,15800,253200,189900,3000000,0,2008,Sep,24,88.2,328239523,14.7,270663028,37.09024,-95.712891,460,460
261,Diana and Roma ARA,24100000,11041261296,Unknown,Diana and Roma ARA,590,United States,US,Entertainment,76,70,66884000,16700,267500,200700,3200000,200000,2019,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891,326,326
262,KSI,24100000,6002166932,Entertainment,KSI,1252,United Kingdom,GB,Music,10,76,5439000,1400,21800,16300,261100,0,2009,Jul,25,60,66834405,3.85,55908316,55.378051,-3.435973,616,616
263,Spider Slack,24000000,13943030228,Comedy,Spider Slack,901,Brazil,BR,Comedy,13,14,761451000,190400,3000000,2300000,36500000,1100000,2020,May,18,51.3,212559417,12.08,183241641,-14.235004,-51.92528,240,240
264,Goldmines Movies,24000000,5652938599,Film & Animation,Ti Ti,3,Unknown,Unknown,People,Unknown,7725,3,0,0.01,0.01,0.14,0,2018,Apr,30,Unknown,Unknown,Unknown,Unknown,No Data,No Data,637,637
265,Preston,24000000,8279004442,Gaming,Preston,4009,United States,US,Entertainment,78,72,151697000,37900,606800,455100,7300000,200000,2012,Jul,4,88.2,328239523,14.7,270663028,37.09024,-95.712891,466,466
266,James Charles,23900000,4067878931,Entertainment,James Charles,505,United States,US,Entertainment,79,73,58126000,14500,232500,174400,2800000,100000,2015,Dec,1,88.2,328239523,14.7,270663028,37.09024,-95.712891,762,762
267,Collins Key,23900000,6582932625,Entertainment,Collins Key,257,United States,US,Entertainment,79,73,10853000,2700,43400,32600,520900,0,2011,Aug,9,88.2,328239523,14.7,270663028,37.09024,-95.712891,578,578
268,Diana and Roma EN,23900000,7213499085,People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,79,73,177769000,44400,711100,533300,8500000,300000,2011,Dec,22,88.2,328239523,14.7,270663028,37.09024,-95.712891,533,533
269,Venus Entertainment,23800000,5663125358,Entertainment,Venus Entertainment,70,Unknown,Unknown,Entertainment,Unknown,2500,31633,8,127,95,1500,0,2016,May,17,Unknown,Unknown,Unknown,Unknown,No Data,No Data,636,636
270,Troom Troom,23800000,10414479943,Howto & Style,Troom Troom,2425,United States,US,Howto,80,8,98052000,24500,392200,294200,4700000,100000,2015,Sep,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,346,346
271,Enrique Iglesias,23800000,17688774915,Music,Enrique Iglesias,443,United States,US,Music,80,77,122914000,30700,491700,368700,5900000,100000,2007,Apr,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,153,153
272,Ninja,23700000,2543809954,Gaming,Ninja,1732,United States,US,Games,81,19,8368000,2100,33500,25100,401700,0,2011,Nov,11,88.2,328239523,14.7,270663028,37.09024,-95.712891,874,874
273,FaZe Rug,23700000,7451792132,Gaming,FaZeRug,0,Canada,CA,Games,3885,7268,0,0,0,0,0,1,2012,Nov,30,68.9,36991981,5.56,30628482,56.130366,-106.346771,517,517
274,Mister Max,23700000,15510153803,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,11,74,32817000,8200,131300,98400,1600000,0,2014,Sep,22,60,66834405,3.85,55908316,55.378051,-3.435973,199,199
275,That Little Puff,23700000,20289689389,Pets & Animals,That Little Puff,769,United States,US,Animals,81,1,755054000,188800,3000000,2300000,36200000,1100000,2020,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891,118,118
276,NickyJamTV,23600000,15901824841,Music,NickyJamTV,392,Unknown,Unknown,Music,3,78,77927000,19500,311700,233800,3700000,100000,2012,Jan,10,Unknown,Unknown,Unknown,Unknown,No Data,No Data,188,188
277,Juan De Dios Pantoja,23600000,2135644776,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,11,10,46862000,11700,187400,140600,2200000,200000,2014,Jun,9,40.2,126014024,3.42,102626859,23.634501,-102.552784,905,905
278,Logan Paul,23600000,5994002464,Entertainment,Logan Paul,719,United States,US,Entertainment,82,75,10803000,2700,43200,32400,518600,0,2015,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891,620,620
279,Maya and Mary,23600000,6766461070,Entertainment,Maya and Mary,552,United States,US,Entertainment,82,75,44542000,11100,178200,133600,2100000,400000,2013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891,565,565
280,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200,Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1251,United Kingdom,GB,Film,12,19,53589000,13400,214400,160800,2600000,100000,2014,Jul,28,60,66834405,3.85,55908316,55.378051,-3.435973,486,486
281,Jelly,23500000,14777034543,Gaming,Jelly,6066,United Kingdom,GB,Games,13,20,41669000,10400,166700,125000,2000000,0,2014,May,27,60,66834405,3.85,55908316,55.378051,-3.435973,217,217
282,Miss Katy,23500000,14696994366,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,13,76,59629000,14900,238500,178900,2900000,0,2014,Nov,17,60,66834405,3.85,55908316,55.378051,-3.435973,220,220
283,Tilak,23400000,9465863821,Film & Animation,Tilak,6672,India,IN,Film,56,20,367347000,91800,1500000,1100000,17600000,900000,2020,Oct,10,28.1,1366417754,5.36,471031528,20.593684,78.96288,406,406
284,Valentina Pontes ofc,23400000,7926899136,Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,14,77,28285000,7100,113100,84900,1400000,0,2014,Apr,14,51.3,212559417,12.08,183241641,-14.235004,-51.92528,484,484
285,Sesame Street,23300000,22471357411,Entertainment,Sesame Street,3657,United States,US,Entertainment,83,78,124187000,31000,496700,372600,6000000,100000,2006,Jan,16,88.2,328239523,14.7,270663028,37.09024,-95.712891,99,99
286,Happy Lives,23200000,2634,Science & Technology,Happy Lives,1,United States,US,Entertainment,84,79,6589000000,0,0,0,0,100000,2016,Mar,15,88.2,328239523,14.7,270663028,37.09024,-95.712891,987,987
287,Lady Gaga,23200000,15751661213,People & Blogs,Lady Gaga,172,United States,US,Music,83,79,143169000,35800,572700,429500,6900000,100000,2008,May,15,88.2,328239523,14.7,270663028,37.09024,-95.712891,192,192
288,Akshay Nagwadiya,23200000,7966720147,Entertainment,Akshay Nagwadiya,595,Unknown,Unknown,Entertainment,Unknown,79,321179000,80300,1300000,963500,15400000,900000,2017,Oct,25,Unknown,Unknown,Unknown,Unknown,No Data,No Data,478,478
289,Wave Music Bhojpuri,23100000,12889240875,Music,Wave Music Bhojpuri,22578,India,IN,Music,59,81,52678000,13200,210700,158000,2500000,100000,2014,Aug,10,28.1,1366417754,5.36,471031528,20.593684,78.96288,271,271
290,GMM GRAMMY OFFICIAL,23100000,25579831081,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,4,81,130233000,32600,520900,390700,6300000,0,2010,Nov,8,49.3,69625582,0.75,35294600,15.870032,100.992541,69,69
291,TED,23100000,2551113422,People & Blogs,TED,4445,United States,US,Tech,85,4,13246000,3300,53000,39700,635800,100000,2006,Dec,6,88.2,328239523,14.7,270663028,37.09024,-95.712891,873,873
292,unknown boy varun,23100000,9299371231,Music,unknown boy varun,456,India,IN,Music,58,80,304021000,76000,1200000,912100,14600000,700000,2016,Sep,27,28.1,1366417754,5.36,471031528,20.593684,78.96288,414,414
293,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,85,81,128448000,32100,513800,385300,6200000,700000,2013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891,261,261
294,Tsuriki Show,23000000,31494513067,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,1,15,756717000,189200,3000000,2300000,36300000,800000,2019,Jul,10,70.2,83132799,3.04,64324835,51.165691,10.451526,34,34
295,Technical Guruji,23000000,3378047383,Science & Technology,Technical Guruji,5041,India,IN,Tech,60,5,22262000,5600,89000,66800,1100000,0,2015,Oct,19,28.1,1366417754,5.36,471031528,20.593684,78.96288,813,813
296,DrossRotzank,23000000,6041264489,Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,5,80,35539000,8900,142200,106600,1700000,100000,2006,Mar,9,90,44938712,9.79,41339571,-38.416097,-63.616672,612,612
297,White Hill Music,23000000,10939966484,Entertainment,White Hill Music,5718,India,IN,Music,60,82,93183000,23300,372700,279500,4500000,100000,2014,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288,332,332
298,Ultra Movie Parlour,22900000,5320485069,Movies,Ultra Movie Parlour,1670,India,IN,Film,61,22,118846000,0,0,0,0,300000,2011,May,17,28.1,1366417754,5.36,471031528,20.593684,78.96288,659,659
299,Alan Becker,22900000,5380073627,Film & Animation,Alan Becker,0,United States,US,Games,7700,7453,0,0,0,0,0,1,2006,Mar,21,88.2,328239523,14.7,270663028,37.09024,-95.712891,655,655
300,toyorbabytv,22900000,16298342829,Music,toyorbabytv,1159,Jordan,JO,Music,2,83,169056000,42300,676200,507200,8100000,300000,2012,Nov,1,34.4,10101694,14.72,9213048,30.585164,36.238414,176,176
301,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140,Education,BabyBus - Canciones Infantiles & Videos paraï¿½,1251,Mexico,MX,Education,12,17,136821000,34200,547300,410500,6600000,200000,2018,Mar,19,40.2,126014024,3.42,102626859,23.634501,-102.552784,258,258
302,KL BRO Biju Rithvik,22800000,17988347989,Entertainment,KL BRO Biju Rithvik,1841,Unknown,Unknown,Entertainment,Unknown,79,2033000000,508100,8100000,6100000,97600000,3200000,2020,Jul,21,Unknown,Unknown,Unknown,Unknown,No Data,No Data,145,145
303,Vania Mania Kids,22700000,10115316784,People & Blogs,Vania Mania Kids,985,United States,US,Education,87,18,155215000,38800,620900,465600,7500000,300000,2015,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891,362,362
304,Like Nastya PRT,22700000,11568118121,Entertainment,Like Nastya PRT,654,Unknown,Unknown,Entertainment,Unknown,82,96613000,24200,386500,289800,4600000,100000,2019,Apr,9,Unknown,Unknown,Unknown,Unknown,No Data,No Data,302,302
305,Sun TV,22600000,20847038152,People & Blogs,Sun TV,60964,India,IN,Entertainment,63,82,982238000,245600,3900000,2900000,47100000,600000,2016,Feb,26,28.1,1366417754,5.36,471031528,20.593684,78.96288,110,110
306,Heroindori,22600000,9223534599,Comedy,Heroindori,495,India,IN,Entertainment,62,81,399152000,99800,1600000,1200000,19200000,1400000,2020,Jun,29,28.1,1366417754,5.36,471031528,20.593684,78.96288,417,417
307,The Chainsmokers,22600000,14231943358,Music,The Chainsmokers,180,United States,US,Music,88,84,81660000,20400,326600,245000,3900000,100000,2012,Sep,22,88.2,328239523,14.7,270663028,37.09024,-95.712891,232,232
308,mmoshaya,22600000,17507060680,People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,1,83,73829000,18500,295300,221500,3500000,100000,2010,Dec,11,68,34268528,5.93,28807838,23.885942,45.079162,155,155
309,Sia,22600000,13405849040,Music,Sia,171,United States,US,Music,88,84,95253000,23800,381000,285800,4600000,0,2007,Nov,19,88.2,328239523,14.7,270663028,37.09024,-95.712891,253,253
310,LeoNata Family,22600000,27084848152,People & Blogs,LeoNata Family,2321,United States,US,People,87,11,1174000000,293500,4700000,3500000,56300000,1300000,2021,Sep,28,88.2,328239523,14.7,270663028,37.09024,-95.712891,58,58
311,Goldmines Cineplex,22500000,2431154438,Film & Animation,Goldmines Cineplex,3377,India,IN,Film,64,23,48740000,12200,195000,146200,2300000,200000,2015,Sep,12,28.1,1366417754,5.36,471031528,20.593684,78.96288,881,881
312,Vlad and Niki Arabic,22500000,10613701948,Unknown,Vlad and Niki Arabic,526,United States,US,Entertainment,89,84,65066000,16300,260300,195200,3100000,100000,2018,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891,339,339
313,SSundee,22500000,13835173331,Gaming,SSundee,3315,United States,US,Games,90,21,175094000,43800,700400,525300,8400000,200000,2009,Nov,28,88.2,328239523,14.7,270663028,37.09024,-95.712891,244,244
314,Paulo Londra,22400000,8040036209,Music,Paulo Londra,58,Argentina,AR,Music,6,85,72242000,18100,289000,216700,3500000,0,2016,Aug,8,90,44938712,9.79,41339571,-38.416097,-63.616672,474,474
315,Smile Family,22300000,8663830163,People & Blogs,SMILE Family,34,France,FR,Music,3046,4509,735,0.18,3,2,35,10,2019,Nov,3,65.6,67059887,8.43,54123364,46.227638,2.213749,447,447
316,FGTeeV,22300000,24059336857,Gaming,FGTeeV,1724,United States,US,Games,91,22,132110000,33000,528400,396300,6300000,100000,2013,May,24,88.2,328239523,14.7,270663028,37.09024,-95.712891,77,77
317,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,Kinder Spielzeug Kanal (Kidibli),999,United States,US,Entertainment,92,86,139333000,34800,557300,418000,6700000,200000,2015,Sep,25,88.2,328239523,14.7,270663028,37.09024,-95.712891,322,322
318,Charlie Puth,22000000,9924807127,Music,Charlie Puth,157,United States,US,Music,94,86,111500000,27900,446000,334500,5400000,100000,2009,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891,377,377
319,Vlad and Niki ESP,22000000,8594440895,Unknown,Vlad and Niki ESP,515,United States,US,Entertainment,93,87,183871000,46000,735500,551600,8800000,200000,2018,Oct,11,88.2,328239523,14.7,270663028,37.09024,-95.712891,455,455
320,Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186,Entertainment,Sagawa /ï¿½ï¿½ï¿½,6274,Japan,JP,Entertainment,3,88,711254000,177800,2800000,2100000,34100000,800000,2021,Feb,13,63.2,126226568,2.29,115782416,36.204824,138.252924,142,142
321,Ben Azelart,21900000,4454917643,Film & Animation,Ben Azelart,301,United States,US,Entertainment,94,88,184946000,46200,739800,554800,8900000,500000,2014,Jun,5,88.2,328239523,14.7,270663028,37.09024,-95.712891,730,730
322,Zach Choi ASMR,21900000,5918314128,People & Blogs,Zach Choi ASMR,946,United States,US,People,94,12,234222000,58600,936900,702700,11200000,400000,2014,Jul,5,88.2,328239523,14.7,270663028,37.09024,-95.712891,623,623
323,Topper Guild,21900000,15552070846,Comedy,Topper Guild,816,United States,US,Comedy,91,16,687028000,171800,2700000,2100000,33000000,1900000,2014,Jul,9,88.2,328239523,14.7,270663028,37.09024,-95.712891,196,196
324,Disney Latinoamï¿½ï¿½,21900000,20657571751,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,2973,4085,4719,1,19,14,227,0,2008,Apr,7,40.2,126014024,3.42,102626859,23.634501,-102.552784,113,113
325,Stokes Twins,21800000,4469711607,People & Blogs,Stokes Twins,257,United States,US,People,95,13,197953000,49500,791800,593900,9500000,600000,2008,Apr,11,88.2,328239523,14.7,270663028,37.09024,-95.712891,727,727
326,National Geographic,21800000,5614621131,Science & Technology,National Geographic,10162,United States,US,Entertainment,95,89,45812000,11500,183200,137400,2200000,100000,2006,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891,639,639
327,Dua Lipa,21800000,11288359365,Music,Dua Lipa,164,United Kingdom,GB,Music,14,87,128047000,32000,512200,384100,6100000,100000,2011,Feb,5,60,66834405,3.85,55908316,55.378051,-3.435973,318,318
328,OneDirectionVEVO,21800000,12140232004,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,14,87,51134000,12800,204500,153400,2500000,0,2010,Dec,4,60,66834405,3.85,55908316,55.378051,-3.435973,292,292
329,Rotana,21800000,19329351143,Music,rotana5018,135,Unknown,Unknown,Music,Unknown,2709,10571,3,42,32,507,100,2011,Oct,27,Unknown,Unknown,Unknown,Unknown,No Data,No Data,133,133
330,Netflix India,21800000,7780934187,People & Blogs,NETFLIX INDIA,1,Unknown,Unknown,People,Unknown,7665,408,0,0,0,0,0,2017,Sep,24,Unknown,Unknown,Unknown,Unknown,No Data,No Data,493,493
331,Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,Sourav Joshi Vlogs,1390,Unknown,Unknown,People,Unknown,13,265336000,66300,1100000,796000,12700000,400000,2019,Feb,19,Unknown,Unknown,Unknown,Unknown,No Data,No Data,409,409
332,ZAMZAM ELECTRONICS TRADING,21700000,8507818877,Unknown,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,4,14,1598000000,399600,6400000,4800000,76700000,3400000,2020,Dec,19,36.8,9770529,2.35,8479744,23.424076,53.847818,458,458
333,DUDU e CAROL,21600000,9597894786,Autos & Vehicles,DUDU e CAROL,2942,Brazil,BR,Entertainment,15,90,193174000,48300,772700,579500,9300000,300000,2013,Mar,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528,398,398
334,Village Cooking Channel,21600000,5863377051,Howto & Style,Village Cooking Channel,219,India,IN,Howto,66,9,194604000,48700,778400,583800,9300000,400000,2018,Apr,25,28.1,1366417754,5.36,471031528,20.593684,78.96288,627,627
335,Eva Bravo Play,21600000,9346383505,Entertainment,Eva Bravo Play,228,United States,US,Entertainment,96,90,63919000,16000,255700,191800,3100000,0,2019,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891,413,413
336,Tekashi 6ix9ine,21500000,5890180734,People & Blogs,Tekashi 6ix9ine,51,United States,US,Music,96,88,113542000,28400,454200,340600,5400000,200000,2018,Apr,6,88.2,328239523,14.7,270663028,37.09024,-95.712891,625,625
337,Tlnovelas,21500000,15013096899,News & Politics,tlnovelas,158,Mexico,MX,Entertainment,2063,2940,15459,4,62,46,742,0,2014,Jan,2,40.2,126014024,3.42,102626859,23.634501,-102.552784,210,210
338,SMOL,21500000,22065582014,People & Blogs,Claudio,6,Unknown,Unknown,Music,Unknown,5782,3,0,0.01,0.01,0.14,0,2006,Apr,2,Unknown,Unknown,Unknown,Unknown,No Data,No Data,102,102
